Iteration,Parameters,Return
141/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
142/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
143/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
144/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
145/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
146/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
147/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
148/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
149/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
150/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
151/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
152/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
153/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
154/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
155/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
156/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
157/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
158/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
159/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
160/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
161/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
162/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
163/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
164/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
165/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
166/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
167/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
168/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
169/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
170/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
171/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
172/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
173/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
174/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
175/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
176/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
177/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
178/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
